x,y,z;;
0,119013672;-0,05;-0,090589258
0,118475223;-0,05;-0,094310064
0,117251742;-0,05;-0,133361444
0,114797186;-0,05;-0,135573317
0,112324603;-0,05;-0,137846707
0,108385612;-0,05;-0,140896226
0,105561401;-0,05;-0,143351215
0,103814468;-0,05;-0,144812592
0,101687594;-0,05;-0,146394157
0,101366895;-0,05;-0,14748985
0,09996593;-0,05;-0,149388262
0,099400478;-0,05;-0,150721562
0,097407728;-0,05;-0,152219074
0,095719437;-0,05;-0,152935005
0,092240906;-0,05;-0,15379342
0,088569085;-0,05;-0,155018873
0,085762769;-0,05;-0,155160168
0,082691064;-0,05;-0,15449632
0,079884158;-0,05;-0,15460375
0,078578063;-0,05;-0,154055469
0,075510186;-0,05;-0,154974833
0,072868192;-0,05;-0,156015844
0,068479699;-0,05;-0,158577926
0,064849768;-0,05;-0,160419836
0,062429201;-0,05;-0,162384125
0,059115999;-0,05;-0,163880792
0,05532341;-0,05;-0,165935276
0,052747996;-0,05;-0,167236858
0,049922512;-0,05;-0,168437268
0,045554475;-0,05;-0,170738664
0,042977077;-0,05;-0,171932724
0,039884243;-0,05;-0,173951395
0,037727705;-0,05;-0,176269278
0,036455725;-0,05;-0,17859629
0,034670617;-0,05;-0,180705937
0,033088441;-0,05;-0,183679111
0,031522026;-0,05;-0,185879787
0,030315733;-0,05;-0,187807593
0,028515961;-0,05;-0,191225607
0,027650064;-0,05;-0,192616481
0,026895951;-0,05;-0,195276945
0,026956928;-0,05;-0,200765207
0,02689361;-0,05;-0,203531018
0,027897724;-0,05;-0,206317082
0,027150318;-0,05;-0,208440175
0,025906731;-0,05;-0,21024231
0,024644999;-0,05;-0,211801177
0,020443125;-0,05;-0,212972842
0,01841832;-0,05;-0,213754167
0,015497445;-0,05;-0,215066116
0,012132088;-0,05;-0,216264756
0,007939719;-0,05;-0,217345492
0,003921692;-0,05;-0,218380316
-0,001812819;-0,05;-0,21904269
-0,006168428;-0,05;-0,220138401
-0,010255868;-0,05;-0,220283665
-0,018125653;-0,05;-0,220031403
-0,022454213;-0,05;-0,219121417
-0,027500055;-0,05;-0,21761417
-0,034115839;-0,05;-0,216752114
-0,039873871;-0,05;-0,215004121
-0,046297484;-0,05;-0,214316061
-0,054331717;-0,05;-0,212094648
-0,059910655;-0,05;-0,210571282
-0,065024034;-0,05;-0,208747865
-0,071275163;-0,05;-0,208042423
-0,077640459;-0,05;-0,205694365
-0,08191392;-0,05;-0,203616235
-0,088913956;-0,05;-0,20207973
-0,092849945;-0,05;-0,199925063
-0,096827273;-0,05;-0,197524984
-0,102170199;-0,05;-0,195789312
-0,105330861;-0,05;-0,192545776
-0,107229237;-0,05;-0,189991709
-0,110347825;-0,05;-0,184181069
-0,112168401;-0,05;-0,181337673
-0,114124371;-0,05;-0,176804356
-0,116856102;-0,05;-0,171044802
-0,118595733;-0,05;-0,166190187
-0,120090004;-0,05;-0,162600368
-0,122137332;-0,05;-0,160042268
-0,124628263;-0,05;-0,156605776
-0,12595042;-0,05;-0,153829837
-0,127497378;-0,05;-0,151025996
-0,129141309;-0,05;-0,146959209
-0,1305442;-0,05;-0,144372139
-0,133448823;-0,05;-0,140746284
-0,135048208;-0,05;-0,137656359
-0,136644284;-0,05;-0,133416044
-0,138123145;-0,05;-0,12962288
-0,138953815;-0,05;-0,125933907
-0,140652032;-0,05;-0,122329973
-0,141393133;-0,05;-0,117262953
-0,142577496;-0,05;-0,113082515
-0,142953002;-0,05;-0,109351787
-0,144412858;-0,05;-0,105373118
-0,145561525;-0,05;-0,101045375
-0,14612506;-0,05;-0,097780129
-0,14756105;-0,05;-0,09443647
-0,148441603;-0,05;-0,091377865
-0,149197441;-0,05;-0,088716592
-0,14976797;-0,05;-0,0855448
-0,150569111;-0,05;-0,081918385
-0,151124179;-0,05;-0,079459374
-0,150367012;-0,05;-0,077264298
-0,1498714;-0,05;-0,075057341
-0,149473526;-0,05;-0,073466559
-0,148334762;-0,05;-0,071488406
-0,147506784;-0,05;-0,070743664
-0,146680734;-0,05;-0,069947373
-0,14607446;-0,05;-0,068037748
-0,146380681;-0,05;-0,06662135
-0,146195672;-0,05;-0,064505457
-0,145886662;-0,05;-0,062628599
-0,145813353;-0,05;-0,061844068
-0,145780786;-0,05;-0,061161243
-0,145672714;-0,05;-0,059119898
-0,145136281;-0,05;-0,058380186
-0,145026125;-0,05;-0,056455208
-0,144440044;-0,05;-0,05578143
-0,14491222;-0,05;-0,055429321
-0,144919378;-0,05;-0,054340632
-0,145814305;-0,05;-0,054464274
-0,146192385;-0,05;-0,053844304
-0,147013302;-0,05;-0,053498279
-0,148311601;-0,05;-0,05305372
-0,150457151;-0,05;-0,053060025
-0,151997545;-0,05;-0,052423215
-0,154835277;-0,05;-0,050959874
-0,156300133;-0,05;-0,050960438
-0,158142472;-0,05;-0,050083612
-0,161331238;-0,05;-0,048984843
-0,162879518;-0,05;-0,048662607
-0,164077029;-0,05;-0,048376749
-0,166557177;-0,05;-0,04714938
-0,167799043;-0,05;-0,045490761
-0,169354727;-0,05;-0,044844842
-0,172341771;-0,05;-0,04229847
-0,1740566;-0,05;-0,041507457
-0,175349793;-0,05;-0,040353848
-0,177090994;-0,05;-0,038538686
-0,178823974;-0,05;-0,036321238
-0,180415719;-0,05;-0,033948225
-0,184176175;-0,05;-0,031749478
-0,185895583;-0,05;-0,029586222
-0,18711985;-0,05;-0,027381814
-0,190020948;-0,05;-0,026928418
-0,192741511;-0,05;-0,023356437
-0,194603794;-0,05;-0,02240327
-0,198671227;-0,05;-0,019765883
-0,200728008;-0,05;-0,018239918
-0,203098847;-0,05;-0,016637047
-0,206607943;-0,05;-0,014032431
-0,208063276;-0,05;-0,011443072
-0,209785635;-0,05;-0,010086889
-0,212036629;-0,05;-0,007324792
-0,213760164;-0,05;-0,00633452
-0,215735561;-0,05;-0,005291542
-0,217558701;-0,05;-0,002997622
-0,218495093;-0,05;1,04E-06
-0,219995229;-0,05;0,001083815
-0,221261617;-0,05;0,003415986
-0,222094399;-0,05;0,006204034
-0,223008163;-0,05;0,007643238
-0,224631569;-0,05;0,009048386
-0,225596162;-0,05;0,0125043
-0,226257633;-0,05;0,013317919
-0,227032964;-0,05;0,016294208
-0,227677287;-0,05;0,019136553
-0,228729067;-0,05;0,019870961
-0,230607025;-0,05;0,022205826
-0,231405135;-0,05;0,025221067
-0,232087188;-0,05;0,026057687
-0,232852741;-0,05;0,028244647
-0,233487901;-0,05;0,029770142
-0,2347715;-0,05;0,032669697
-0,235362274;-0,05;0,036493526
-0,235888234;-0,05;0,038719275
-0,23609182;-0,05;0,039912875
-0,236791262;-0,05;0,043174824
-0,236390009;-0,05;0,044214039
-0,236514512;-0,05;0,046686304
-0,237790102;-0,05;0,048078407
-0,238351658;-0,05;0,049834883
-0,238563774;-0,05;0,051922165
-0,239311518;-0,05;0,053908604
-0,240147191;-0,05;0,055977033
-0,239570193;-0,05;0,05700511
-0,24074223;-0,05;0,059413402
-0,241649897;-0,05;0,060709101
-0,243227427;-0,05;0,061942315
-0,245664739;-0,05;0,06613559
-0,247591338;-0,05;0,067647031
-0,248596214;-0,05;0,068520095
-0,252352021;-0,05;0,069162606
-0,25422627;-0,05;0,07145295
-0,25629461;-0,05;0,072274974
-0,260227065;-0,05;0,073208398
-0,261569735;-0,05;0,072943399
-0,263238477;-0,05;0,072659206
-0,264984177;-0,05;0,072775062
-0,26453472;-0,05;0,071918924
-0,265155202;-0,05;0,071616424
-0,266450765;-0,05;0,071438899
-0,267820478;-0,05;0,070429668
-0,269412484;-0,05;0,069664843
-0,272295352;-0,05;0,069802629
-0,273684348;-0,05;0,069555758
-0,275061581;-0,05;0,069964257
-0,27766476;-0,05;0,06766314
-0,279280315;-0,05;0,067583536
-0,280995865;-0,05;0,067063206
-0,282605425;-0,05;0,068063766
-0,283098054;-0,05;0,067653699
-0,283765125;-0,05;0,068734033
-0,28503622;-0,05;0,072190304
-0,28584521;-0,05;0,073824461
-0,286590093;-0,05;0,073933244
-0,289033484;-0,05;0,076604694
-0,290399264;-0,05;0,077143141
