x,y,z
0,1178099;-0,05;0,04719045
0,1157535;-0,05;0,04301254
0,1146486;-0,05;0,0420261
0,114247;-0,05;0,04016415
0,1131019;-0,05;0,03662456
0,1129557;-0,05;0,03353719
0,1134212;-0,05;0,03046978
0,1138256;-0,05;0,02498071
0,1140287;-0,05;0,02376249
0,1143538;-0,05;0,02146077
0,1141349;-0,05;0,01789764
0,114559;-0,05;0,01487616
0,1145373;-0,05;0,01255402
0,1147024;-0,05;0,008655731
0,1149548;-0,05;0,006846828
0,1153247;-0,05;0,004195109
0,1158188;-0,05;0,0006486122
0,1160118;-0,05;-0,0009585377
0,1164201;-0,05;-0,004108893
0,1168835;-0,05;-0,007653871
0,1172027;-0,05;-0,01037978
0,1173513;-0,05;-0,01380125
0,1177228;-0,05;-0,01669249
0,1179242;-0,05;-0,01836452
0,1178597;-0,05;-0,02071876
0,117745;-0,05;-0,02227822
0,1176841;-0,05;-0,02446349
0,1175127;-0,05;-0,02607883
0,1161358;-0,05;-0,02887224
0,1159455;-0,05;-0,02993262
0,1155011;-0,05;-0,03182915
0,1139204;-0,05;-0,03370384
0,1120212;-0,05;-0,03527874
0,1103492;-0,05;-0,03580688
0,1080609;-0,05;-0,03728559
0,106774;-0,05;-0,03825275
0,1050472;-0,05;-0,03864065
0,1015501;-0,05;-0,03905695
0,09838517;-0,05;-0,03943677
0,09590907;-0,05;-0,03969806
0,09169921;-0,05;-0,04030059
0,08963303;-0,05;-0,04067985
0,08758777;-0,05;-0,04128315
0,08313602;-0,05;-0,04227667
0,08041356;-0,05;-0,04355212
0,0783836;-0,05;-0,04478482
0,07678126;-0,05;-0,04676119
0,0762024;-0,05;-0,04823462
0,07635867;-0,05;-0,05005063
0,07633707;-0,05;-0,05375788
0,07654434;-0,05;-0,05618082
0,07667463;-0,05;-0,05807267
0,07624358;-0,05;-0,06142858
0,07604734;-0,05;-0,06317559
0,07618317;-0,05;-0,06479104
0,07606265;-0,05;-0,06783038
0,07636812;-0,05;-0,07112043
0,07647403;-0,05;-0,07275081
0,07637034;-0,05;-0,07605498
0,07654683;-0,05;-0,07780409
0,07669076;-0,05;-0,07917059
0,07694331;-0,05;-0,08220695
0,07704939;-0,05;-0,0834811
0,07713281;-0,05;-0,08484849
0,07725878;-0,05;-0,08673486
0,07709486;-0,05;-0,08866066
0,07737071;-0,05;-0,0916321
0,07767221;-0,05;-0,09528134
0,07779732;-0,05;-0,09679586
0,07787927;-0,05;-0,09816269
0,07810401;-0,05;-0,1008847
0,07817483;-0,05;-0,1024847
0,07743554;-0,05;-0,1030056
0,07606313;-0,05;-0,1050154
0,07462017;-0,05;-0,1058108
0,07315636;-0,05;-0,1067686
0,07024307;-0,05;-0,1085675
0,06846142;-0,05;-0,1098312
0,06736532;-0,05;-0,110586
0,06554491;-0,05;-0,1118441
0,06562191;-0,05;-0,1125285
0,06494301;-0,05;-0,1137036
0,06430719;-0,05;-0,1151061
0,06282192;-0,05;-0,1161106
0,06130591;-0,05;-0,1166623
0,0575388;-0,05;-0,1177967
0,05449856;-0,05;-0,1184238
0,0514134;-0,05;-0,1188267
0,04720251;-0,05;-0,1192747
0,04414377;-0,05;-0,1196377
0,04222891;-0,05;-0,1197227
0,0395106;-0,05;-0,1202757
0,03760339;-0,05;-0,1205702
0,03341644;-0,05;-0,1229329
0,03069754;-0,05;-0,123901
0,02917163;-0,05;-0,1250487
0,02647284;-0,05;-0,126007
0,02265878;-0,05;-0,12808
0,02071035;-0,05;-0,1288495
0,01802571;-0,05;-0,1299328
0,01417617;-0,05;-0,1318105
0,01150825;-0,05;-0,1330777
0,008806327;-0,05;-0,134783
0,008163652;-0,05;-0,135946
0,007801752;-0,05;-0,1376213
0,007436369;-0,05;-0,1387739
0,007475927;-0,05;-0,1407373
0,007482158;-0,05;-0,1420382
0,007489023;-0,05;-0,1433223
0,007532178;-0,05;-0,1458419
0,007506383;-0,05;-0,1468537
0,007576619;-0,05;-0,1491601
0,008011747;-0,05;-0,1544934
0,008466669;-0,05;-0,1570504
0,01009742;-0,05;-0,1595929
0,01008051;-0,05;-0,1614442
0,009646285;-0,05;-0,1629602
0,009241166;-0,05;-0,1642331
0,006437785;-0,05;-0,1649744
0,005671027;-0,05;-0,1654064
0,004015167;-0,05;-0,1664024
0,0031898;-0,05;-0,1670709
0,0007583491;-0,05;-0,1678639
-0,001232666;-0,05;-0,1686467
-0,00417034;-0,05;-0,1690983
-0,005781279;-0,05;-0,1701399
-0,007804357;-0,05;-0,1703438
-0,01395201;-0,05;-0,1702059
-0,01681713;-0,05;-0,1694402
-0,02005145;-0,05;-0,1681721
-0,0253086;-0,05;-0,1675339
-0,02891086;-0,05;-0,1662208
-0,03407723;-0,05;-0,1658324
-0,04091879;-0,05;-0,1639273
-0,04488658;-0,05;-0,1628819
-0,04848067;-0,05;-0,161564
-0,05290661;-0,05;-0,1615387
-0,05649599;-0,05;-0,1603853
-0,05927319;-0,05;-0,159036
-0,06445315;-0,05;-0,1584716
-0,06723383;-0,05;-0,1569854
-0,06991293;-0,05;-0,1553869
-0,0742109;-0,05;-0,1543372
-0,07602011;-0,05;-0,152038
-0,07706502;-0,05;-0,1501154
