x,y,z
-0,08822951;-0,05;0,1709993
-0,08885924;-0,05;0,1705985
-0,08983503;-0,05;0,1694945
-0,0908374;-0,05;0,1683232
-0,0912363;-0,05;0,1674583
-0,09219982;-0,05;0,1664879
-0,09232964;-0,05;0,1653938
-0,09240253;-0,05;0,16484
-0,09376651;-0,05;0,1631521
-0,09446303;-0,05;0,1622591
-0,09543797;-0,05;0,1614874
-0,09672904;-0,05;0,1604303
-0,09736973;-0,05;0,1599994
-0,09770454;-0,05;0,1595949
-0,09832035;-0,05;0,1592311
-0,09865774;-0,05;0,1588388
-0,09998049;-0,05;0,1575263
-0,1003859;-0,05;0,1567011
-0,1008542;-0,05;0,1553398
-0,101032;-0,05;0,1541293
-0,1012753;-0,05;0,152422
-0,1017079;-0,05;0,1514662
-0,1021849;-0,05;0,1499865
-0,1024279;-0,05;0,1482507
-0,1026815;-0,05;0,1464222
-0,1029513;-0,05;0,1444668
-0,1031767;-0,05;0,1427313
-0,1033743;-0,05;0,1412791
-0,1034866;-0,05;0,140346
-0,1036185;-0,05;0,1394056
-0,1037458;-0,05;0,1384666
-0,1038776;-0,05;0,137527
-0,1040948;-0,05;0,1359631
-0,1043044;-0,05;0,1344139
-0,1049136;-0,05;0,1323196
-0,1051569;-0,05;0,1305074
-0,1053055;-0,05;0,1294696
-0,1059065;-0,05;0,1273714
-0,1066006;-0,05;0,1246657
-0,1070302;-0,05;0,1238529
-0,1072229;-0,05;0,1224838
-0,1082011;-0,05;0,119996
-0,1088463;-0,05;0,1196668
-0,110031;-0,05;0,117918
-0,111675;-0,05;0,1171293
-0,1132852;-0,05;0,1167299
-0,1145421;-0,05;0,1165473
-0,1172561;-0,05;0,1150313
-0,1189087;-0,05;0,1143299
-0,1201286;-0,05;0,1143459
-0,1218121;-0,05;0,1136391
-0,1232018;-0,05;0,112717
-0,12485;-0,05;0,1121017
-0,1280356;-0,05;0,1097566
-0,1291832;-0,05;0,1086089
-0,1307648;-0,05;0,1066343
-0,1334195;-0,05;0,1041723
-0,135036;-0,05;0,1021026
-0,1365702;-0,05;0,1007829
-0,1392815;-0,05;0,09634184
-0,140304;-0,05;0,094192
-0,1411328;-0,05;0,09156051
-0,1413313;-0,05;0,08871125
-0,1415894;-0,05;0,08722882
-0,1415477;-0,05;0,0855639
-0,1405383;-0,05;0,0839906
-0,1401372;-0,05;0,0826169
-0,1390322;-0,05;0,08148935
-0,1367662;-0,05;0,07983
